vaci,caci,chl,fsd,tsd,quality,alc,,
0.67,0.06,0.08,8,33,LOW,9.6,,
0.53,0.06,0.086,20,44,HIGH,10.7,,
0.18,0.48,0.068,7,15,HIGH,10.1,, 
0.705,0.12,0.092,12,28,LOW,10,,
0.67,0.12,0.186,5,21,LOW,9.5,,
0.65,0.6,0.112,12,90,LOW,9.2,,
0.53,0.48,0.063,6,25,HIGH,9.3,,
0.62,0.32,0.082,7,54,LOW,9.4,,
0.41,0.42,0.213,6,14,HIGH,9.5,,
0.43,0.44,0.214,5,12,HIGH,9.5,,
0.29,0.38,0.062,9,30,HIGH,9.5,,
0.53,0.48,0.063,6,25,HIGH,9.3,,
0.53,0.24,0.072,15,105,HIGH,9.4,,
0.46,0.31,0.093,19,98,HIGH,9.5,,
0.47,0.3,0.076,30,135,LOW,9.4,,
0.36,0.29,0.087,26,72,LOW,11,,
0.35,0.29,0.096,20,53,HIGH,11,,
0.56,0.23,0.102,37,92,LOW,10.1,,
0.77,0.12,0.082,30,74,HIGH,10.4,,
0.66,0.39,0.083,21,59,HIGH,11.5,,
0.77,0.12,0.082,30,74,HIGH,10.4,,
0.66,0.39,0.083,21,59,HIGH,11.5,,
0.61,0.26,0.09,25,87,LOW,9.7,,
0.62,0.05,0.079,6,18,LOW,9.3,,
0.59,0.42,0.09,35,73,HIGH,9.5,,
0.49,0.2,0.071,13,50,HIGH,9.2,,
0.49,0.2,0.071,13,50,HIGH,9.2,,
0.53,0.66,0.121,6,14,HIGH,11.5,,
0.44,0.5,0.107,5,13,LOW,11.5,,
0.27,0.62,0.082,6,21,HIGH,9.7,,
0.46,0.39,0.061,7,15,LOW,9.5,,
0.36,0.64,0.122,10,41,HIGH,12.5,,
0.36,0.64,0.122,10,41,HIGH,12.5,,
0.58,0.28,0.066,21,114,HIGH,9.4,,
0.56,0.08,0.105,16,44,LOW,11,,
0.65,0.01,0.078,17,38,HIGH,11.7,,
0.695,0.53,0.128,7,21,HIGH,12.2,,
0.43,0.45,0.052,6,16,HIGH,12.5,,
0.43,0.32,0.08,29,58,LOW,10.3,,
0.49,0.58,0.103,28,99,HIGH,11.5,,
0.28,0.54,0.082,12,29,HIGH,9.8,,
0.34,0.5,0.066,10,21,HIGH,9.2,,
0.42,0.48,0.065,5,18,HIGH,11.3,,
0.39,0.47,0.118,6,14,HIGH,9.8,,
0.39,0.47,0.118,6,14,HIGH,9.8,,
0.57,0.5,0.082,6,32,HIGH,10.7,,
0.685,0,0.067,40,63,LOW,9.9,,
0.815,0.02,0.072,17,34,HIGH,12.3,,
0.49,0.67,0.093,6,15,HIGH,12,,
0.56,0.31,0.089,15,46,HIGH,10,,
0.785,0,0.093,11,28,HIGH,9.4,,
0.67,0.22,0.107,17,34,HIGH,9.9,,
0.795,0,0.096,11,26,HIGH,9.4,,
0.665,0,0.09,8,19,LOW,9.3,,
0.53,0.79,0.12,23,77,LOW,13,,
0.21,0.4,0.066,40.5,165,HIGH,11.9,,
0.75,0.01,0.078,17,32,HIGH,12.8,,
0.41,0.52,0.08,29,55,LOW,11,,
0.42,0.66,0.116,12,29,HIGH,11.7,,
0.43,0.66,0.109,10,23,HIGH,10.4,,
0.38,0.66,0.088,10,41,HIGH,9.8,,
0.7,0.23,0.099,14,81,LOW,9.4,,
0.45,0.31,0.086,21,50,HIGH,9.9,,
0.58,0.66,0.072,6,37,LOW,10,,
0.46,0.63,0.071,6,15,LOW,10.2,,
0.615,0.66,0.083,7,42,HIGH,10,,
0.42,0.5,0.107,7,21,HIGH,11.8,,
0.615,0.66,0.083,7,42,HIGH,10,,
0.575,0.61,0.076,11,24,LOW,9,,
0.34,0.52,0.159,15,75,LOW,9.4,,
0.27,0.53,0.074,6,18,HIGH,12,,
0.765,0.02,0.063,35,63,LOW,9.9,,
0.24,0.4,0.056,11,25,HIGH,8.7,,
0.28,0.48,0.067,26,46,HIGH,10.6,,
0.55,0.22,0.106,12,72,LOW,9.2,,
0.41,0.63,0.089,6,47,HIGH,10.8,,
0.54,0.71,0.124,6,15,HIGH,11.8,,
0.45,0.5,0.078,19,47,HIGH,11,,
0.27,0.53,0.074,6,18,HIGH,12,,
0.625,0.66,0.088,6,24,HIGH,13.3,,
0.42,0.38,0.094,24,60,HIGH,10.8,,
0.26,0.42,0.08,11,27,HIGH,9.4,,
0.415,0.68,0.085,17,43,HIGH,10,,
0.26,0.42,0.08,11,27,HIGH,9.4,,
0.26,0.42,0.08,11,27,HIGH,9.4,,
0.51,0.28,0.087,23,54,LOW,9.2,,
0.63,0.07,0.09,11,37,HIGH,9.7,,
0.54,0.26,0.088,23,48,HIGH,9.2,,
0.66,0.15,0.079,17,42,HIGH,9.6,,
0.46,0.26,0.088,23,53,HIGH,9.2,,
0.38,0.31,0.096,16,49,HIGH,10,,
0.85,0.05,0.045,12,88,HIGH,12.9,,
0.415,0.68,0.085,17,43,HIGH,10,,
0.37,0.52,0.082,6,26,LOW,9.5,,
0.665,0.61,0.112,13,95,LOW,9.1,,
0.6,0.65,0.063,6,25,LOW,9.9,,
0.37,0.76,0.066,7,38,HIGH,13,,
0.735,0.02,0.122,68,124,LOW,9.9,,
0.59,0.59,0.087,13,49,HIGH,11,,
0.59,0.59,0.087,13,49,HIGH,11,,
0.765,0.22,0.064,9,42,LOW,9.4,,
0.735,0.02,0.122,68,124,LOW,9.9,,
0.26,0.3,0.059,20,38,HIGH,10.8,,
0.48,0.54,0.085,19,64,HIGH,10.5,,
0.6,0.49,0.085,10,41,HIGH,10.5,,
0.69,0.05,0.075,15,27,LOW,9.1,,
0.31,0.46,0.059,11,25,HIGH,10.1,,
0.44,0.47,0.063,9,28,HIGH,10.8,,
0.39,0.66,0.093,12,30,HIGH,10.8,,
0.34,0.58,0.174,6,16,HIGH,11.3,,
0.46,0.49,0.07,26,49,LOW,9.6,,
0.43,0.34,0.08,26,86,HIGH,9.5,,
0.45,0.35,0.08,23,78,LOW,9.5,,
0.735,0.16,0.1,15,77,LOW,9.3,,
0.4,0.53,0.097,6,19,HIGH,11.7,,
0.52,0.34,0.087,24,122,LOW,9.5,,
0.725,0.24,0.117,31,134,LOW,9.3,,
0.48,0.64,0.111,6,20,HIGH,11.7,,
0.58,0.12,0.091,34,124,LOW,10.5,,
0.38,0.51,0.121,7,20,HIGH,10.4,,
0.77,0,0.066,34,52,LOW,9.9,,
0.56,0.33,0.089,35,67,HIGH,11.8,,
0.84,0.03,0.059,32,48,HIGH,12.3,,
0.96,0.2,0.047,15,60,LOW,10.9,,
0.24,0.47,0.066,6,24,HIGH,11,,
0.96,0.2,0.047,15,60,LOW,10.9,,
0.84,0.03,0.059,32,48,HIGH,12.3,,
0.67,0.08,0.045,19,48,HIGH,11.4,,
0.78,0.22,0.077,6,32,HIGH,10.6,,
0.52,0.33,0.07,9,30,LOW,9.3,,
0.84,0.63,0.088,13,35,HIGH,10.4,,
0.24,0.47,0.066,6,24,HIGH,11,,
0.55,0.35,0.074,21,66,LOW,9.2,,
0.37,0.69,0.078,12,24,HIGH,12.8,,
0.39,0.63,0.091,6,18,LOW,9.5,,
0.41,0.55,0.076,22,54,HIGH,9.9,,
0.39,0.63,0.091,6,18,LOW,9.5,,
0.67,0.3,0.06,38,62,HIGH,10.2,,
0.45,0.73,0.066,6,22,HIGH,11.2,,
0.41,0.55,0.076,22,54,HIGH,9.9,,
0.62,0.18,0.062,7,50,LOW,9.3,,
0.31,0.72,0.072,6,29,HIGH,9.8,,
0.4,0.65,0.068,7,27,HIGH,11.3,,
0.685,0.76,0.1,6,43,HIGH,11.2,,
0.44,0.49,0.077,11,19,HIGH,11.6,,
0.57,0.01,0.054,5,27,HIGH,12.5,,
0.735,0.1,0.079,6,31,HIGH,10.1,,
0.38,0.6,0.081,31,72,LOW,10.5,,
0.48,0.29,0.127,6,16,LOW,11.2,,
0.53,0.22,0.1,7,27,HIGH,10.2,,
0.39,0.69,0.095,17,35,HIGH,10.8,,
0.39,0.69,0.095,17,35,HIGH,10.8,,
0.37,0.53,0.413,9,26,HIGH,9.1,,
0.56,0.03,0.084,18,35,HIGH,10,,
0.33,0.63,0.084,5,22,HIGH,11.2,,
0.23,0.4,0.063,21,67,LOW,11.1,,
0.62,0.67,0.086,6,19,HIGH,13.4,,
0.59,0.39,0.095,5,22,LOW,10.3,,
0.63,0.21,0.097,29,65,LOW,9.6,,
0.33,0.63,0.084,5,22,HIGH,11.2,,
0.58,0.66,0.074,10,47,LOW,9,,
0.43,0.52,0.083,14,23,HIGH,11.3,,
0.615,0.22,0.087,6,19,LOW,9.3,,
0.26,0.68,0.085,10,25,LOW,11.8,,
0.66,0.7,0.098,25,129,LOW,9,,
0.315,0.54,0.084,5,15,HIGH,9.2,,
0.29,0.4,0.098,10,26,LOW,9.7,,
0.5,0.42,0.069,21,51,HIGH,11.5,,
0.46,0.45,0.065,7,18,HIGH,14,,
0.36,0.69,0.09,6,21,HIGH,9.2,,
0.82,0.02,0.07,36,48,LOW,9.8,,
0.32,0.65,0.093,15,47,LOW,10.6,,
0.54,0.42,0.081,25,52,HIGH,11.4,,
0.37,0.55,0.083,25,68,HIGH,10.4,,
0.35,0.55,0.062,5,14,LOW,10.6,,
0.28,0.51,0.08,10,24,HIGH,9.4,,
0.68,0.24,0.087,5,28,LOW,10.2,,
0.27,0.41,0.091,6,16,LOW,9.7,,
0.24,0.49,0.075,6,20,HIGH,11,,
0.68,0.24,0.087,5,28,LOW,10.2,,
0.685,0.11,0.077,6,31,HIGH,10.1,,
0.28,0.39,0.069,6,23,LOW,9.2,,
0.3,0.56,0.08,6,17,HIGH,11.7,,
0.36,0.59,0.152,6,18,LOW,9.4,,
0.36,0.6,0.152,7,18,LOW,9.4,,
0.44,0.68,0.114,6,24,HIGH,13.4,,
0.67,0.39,0.054,6,17,LOW,10,,
0.67,0.39,0.054,6,17,LOW,10,,
0.645,0.36,0.053,5,14,HIGH,10,,
0.32,0.55,0.081,35,67,HIGH,10.8,,
0.39,0.4,0.073,10,26,HIGH,10.2,,
0.775,0.27,0.078,24,56,HIGH,10.6,,
0.41,0.5,0.055,12,25,HIGH,13.3,,
0.4,0.51,0.052,13,27,HIGH,13.4,,
0.69,0.31,0.086,23,81,HIGH,11.6,,
0.39,0.23,0.051,28,91,HIGH,12.1,,
0.35,0.53,0.07,5,16,HIGH,11,,
0.52,0.25,0.081,14,38,HIGH,9,,
0.34,0.32,0.09,43,113,LOW,11.1,,
0.35,0.53,0.07,5,16,HIGH,11,,
0.69,0.31,0.086,23,81,HIGH,11.6,,
0.52,0.25,0.081,14,38,HIGH,9,,
0.44,0.73,0.074,38,76,HIGH,12,,
0.44,0.73,0.074,38,76,HIGH,12,,
0.26,0.47,0.078,6,24,HIGH,10.9,,
0.24,0.42,0.077,6,22,HIGH,10.8,,
0.49,0.63,0.072,10,26,HIGH,12.5,,
0.24,0.46,0.075,6,21,HIGH,10.8,,
0.67,0.55,0.084,6,13,HIGH,9.5,,
0.59,0.31,0.09,26,62,HIGH,10.2,,
0.29,0.75,0.084,23,43,HIGH,11.4,,
0.42,0.49,0.073,19,43,LOW,9.5,,
0.59,0.31,0.09,26,62,HIGH,10.2,,
0.4,0.48,0.125,15,49,HIGH,9.7,,
0.51,0.64,0.107,6,15,HIGH,11.8,,
0.51,0.64,0.107,6,15,HIGH,11.8,,
0.655,0.49,0.122,34,151,LOW,9.3,,
0.6,0.49,0.1,5,14,HIGH,11.9,,
0.61,0.49,0.2,5,16,LOW,8.4,,
0.21,0.49,0.088,11,32,HIGH,11.7,,
0.365,0.49,0.088,39,106,LOW,11,,
0.25,0.49,0.088,15,33,HIGH,10,,
0.41,0.49,0.088,16,43,LOW,9.1,,
0.39,0.49,0.099,47,133,LOW,9.8,,
0.4,0.49,0.085,38,142,LOW,9.4,,
0.43,0.49,0.086,23,116,LOW,9.5,,
0.64,0.24,0.105,29,53,LOW,9.9,,
0.365,0.49,0.088,39,106,LOW,11,,
0.38,0.49,0.097,33,85,HIGH,11.4,,
0.42,0.49,0.084,32,55,HIGH,8.7,,
0.63,0.24,0.077,6,33,LOW,9.4,,
0.22,0.24,0.078,1,28,HIGH,10.3,,
0.38,0.49,0.098,12,42,LOW,10.3,,
0.38,0.49,0.098,12,42,LOW,10.3,,
0.27,0.24,0.072,15,33,HIGH,12.8,,
0.48,0.24,0.102,13,32,HIGH,10,,
0.22,0.24,0.078,1,28,HIGH,10.3,,
0.63,0.24,0.077,6,33,LOW,9.4,,
0.825,0.24,0.084,5,13,HIGH,10.7,,
0.35,0.49,0.066,5,35,HIGH,12,,
0.5,0.74,0.1,5,17,LOW,11.2,,
0.59,0.24,0.101,20,47,LOW,9.6,,
0.46,0.49,0.064,5,17,HIGH,11,,
0.715,0.24,0.07,5,20,LOW,9.9,,
0.66,0.24,0.085,16,53,HIGH,11,,
0.31,0.74,0.075,6,15,HIGH,8.4,,
0.47,0.49,0.094,38,106,LOW,9.1,,
0.55,0.24,0.078,10,28,HIGH,9.5,,
0.31,0.49,0.067,6,21,HIGH,10.7,,
0.35,0.49,0.079,27,69,HIGH,10.4,,
0.53,0.49,0.171,6,25,HIGH,9.4,,
0.51,0.01,0.074,9,25,HIGH,9.5,,
0.43,0.24,0.092,14,45,HIGH,10,,
0.46,0.24,0.092,14,44,HIGH,10,,
1.04,0.24,0.05,32,96,LOW,11.5,,
0.645,0.49,0.095,10,23,LOW,11.1,,
0.645,0.49,0.095,10,23,LOW,11.1,,
0.53,0.49,0.118,10,17,HIGH,11.7,,
0.645,0.49,0.095,10,23,LOW,11.1,,
0.53,0.49,0.118,10,17,HIGH,11.7,,
0.47,0.49,0.085,6,47,HIGH,12.7,,
0.6,0.49,0.075,5,19,LOW,11.4,,
0.44,0.49,0.078,26,121,LOW,9.2,,
0.54,0.49,0.094,41,110,LOW,9.2,,
0.29,0.49,0.092,25,60,HIGH,10.1,,
0.47,0.49,0.085,6,47,HIGH,12.7,,
0.6,0.49,0.075,5,19,LOW,11.4,,
0.7,0.24,0.226,5,15,HIGH,9,,
0.7,0.24,0.226,5,15,HIGH,9,,
0.5,0.49,0.25,5,20,HIGH,10.7,,
0.36,0.24,0.095,19,42,HIGH,11.7,,
0.35,0.49,0.07,10,37,HIGH,11,,
0.36,0.24,0.095,19,42,HIGH,11.7,,
0.24,0.49,0.075,10,28,LOW,10.4,,
0.59,0.49,0.07,14,47,LOW,9.6,,
0.34,0.49,0.078,20,78,HIGH,10,,
0.27,0.49,0.079,28,46,HIGH,10.2,,
0.5,0.24,0.103,6,14,LOW,10,,
0.44,0.49,0.083,18,111,LOW,9.5,,
0.47,0.49,0.085,17,110,LOW,9.8,,
0.31,0.49,0.063,18,40,HIGH,9.8,,
0.5,0.49,0.089,5,14,LOW,9.6,,
0.5,0.49,0.089,5,14,LOW,9.6,,
0.49,0.49,0.083,5,15,LOW,9.2,,
0.28,0.49,0.074,10,21,HIGH,9.9,,
0.33,0.49,0.093,54,80,HIGH,10.7,,
0.51,0.24,0.091,8,38,HIGH,9.6,,
0.31,0.49,0.094,16,47,HIGH,10.6,,
0.73,0.24,0.108,18,102,LOW,9.3,,
0.42,0.24,0.06,19,50,HIGH,14,,
0.29,0.49,0.059,5,13,HIGH,10.5,,
0.45,0.49,0.084,21,75,LOW,9.7,,
0.39,0.49,0.07,23,149,HIGH,11.5,,
0.45,0.49,0.084,21,75,LOW,9.7,,
0.49,0.58,0.094,9,43,LOW,9,,
0.72,0.17,0.096,20,38,LOW,9.5,,
0.595,0.41,0.086,30,109,LOW,9.3,,
0.4,0.51,0.059,6,24,HIGH,9.3,,
0.58,0.58,0.071,5,18,HIGH,10,,
0.585,0.18,0.078,5,30,HIGH,9.8,,
0.59,0.45,0.082,11,22,HIGH,9.3,,
0.915,0.27,0.088,7,23,LOW,10,,
0.46,0.52,0.071,12,35,HIGH,9,,
0.835,0,0.081,6,14,LOW,9.3,,
0.46,0.52,0.071,12,35,HIGH,9,,
0.58,0.13,0.096,14,63,HIGH,9.1,,
0.6,0.13,0.085,6,24,HIGH,9.2,,
0.41,0.48,0.072,10,20,HIGH,12.2,,
0.48,0.41,0.092,26,52,HIGH,10.5,,
0.65,0.37,0.11,11,65,HIGH,10.4,,
0.36,0.19,0.075,15,39,HIGH,12.7,,
0.24,0.54,0.083,25,57,LOW,9.2,,
0.38,0.55,0.081,5,16,LOW,9.4,,
0.64,0,0.077,18,29,HIGH,10,,
0.39,0.38,0.058,10,29,LOW,9.8,,
0.755,0.18,0.148,10,103,HIGH,10.2,,
0.6,0.5,0.079,28,71,LOW,9.7,,
0.6,0.5,0.079,28,71,LOW,9.7,,
0.31,0.51,0.079,14,28,HIGH,9.8,,
0.46,0.5,0.122,4,17,LOW,10.2,,
0.37,0.41,0.088,6,16,LOW,9.3,,
0.54,0.24,0.076,16,112,LOW,9.4,,
0.56,0.23,0.078,14,104,LOW,9.4,,
0.58,0.22,0.08,9,32,LOW,9.5,,
0.51,0.25,0.077,21,45,HIGH,12.1,,
0.69,0,0.124,21,58,LOW,10.2,,
0.69,0,0.124,21,58,LOW,10.2,,
0.6,0.29,0.098,5,15,LOW,9.1,,
0.6,0.29,0.098,5,15,LOW,9.1,,
0.54,0.26,0.097,7,31,HIGH,9.3,,
0.685,0.23,0.111,20,84,LOW,9.3,,
0.54,0.26,0.097,7,31,HIGH,9.3,,
0.28,0.54,0.105,5,19,LOW,9.5,,
0.41,0.14,0.087,21,43,HIGH,10.5,,
0.935,0.22,0.105,11,86,LOW,11.3,,
0.35,0.21,0.073,46,102,LOW,9.5,,
0.84,0,0.065,24,33,LOW,9.7,,
0.88,0.28,0.086,30,147,LOW,9.4,,
0.885,0.27,0.084,31,145,LOW,9.4,,
0.915,0.12,0.143,7,23,HIGH,10.2,,
0.29,0.35,0.067,25,57,HIGH,10.3,,
0.54,0.45,0.071,16,40,LOW,9.4,,
0.59,0.44,0.071,21,68,LOW,9.5,,
0.54,0.45,0.071,16,40,LOW,9.4,,
0.59,0.44,0.071,21,68,LOW,9.5,,
0.54,0.45,0.071,16,40,LOW,9.4,,
0.64,0.1,0.115,5,11,HIGH,10.1,,
0.67,0.05,0.107,6,20,LOW,10.1,,
0.845,0.01,0.07,5,14,LOW,11,,
0.48,0.3,0.066,10,28,HIGH,11.2,,
0.42,0.27,0.068,24,148,HIGH,11.3,,
0.43,0.39,0.106,8,32,LOW,9.6,,
0.88,0.25,0.104,35,155,LOW,11.2,,
0.36,0.65,0.096,22,71,LOW,14.9,,
0.33,0.59,0.079,9,30,HIGH,12,,
0.47,0.47,0.074,7,29,LOW,9.5,,
0.55,0.17,0.087,20,53,LOW,9.4,,
0.43,0.39,0.106,8,32,LOW,9.6,,
0.5,0.59,0.073,23,42,HIGH,10.5,,
0.52,0.07,0.074,5,20,HIGH,9.6,,
0.84,0.02,0.096,5,13,LOW,11,,
0.52,0.07,0.074,5,20,HIGH,9.6,,
0.42,0.31,0.08,15,42,LOW,9,,
0.57,0.06,0.076,9,27,HIGH,9.6,,
0.28,0.46,0.05,5,13,HIGH,10.2,,
